id,fav,house_flag,auto,book,blood,roots,name,arts_type,maxLv,timing,judge,target,arts_range,cost,description
28,0,0,0,DE,アタッカー,アタッカー,マルチエリミネート,なし,3,マイナー,自動成功,自身,なし,3,そのメインプロセス中、《マルチウェポン》の効果を受けて行なう攻撃の対象を[Lv+1]体に変更する。武器を[Lv+1]個以上装備していなければ使用できない。
29,0,0,0,DE,アタッカー,アタッカー,起死回生,20,1,効果参照,自動成功,自身,なし,罪,解放状態になるか、【FP】が0以下になった状態から1以上に回復した直後に使用する。即座にメインプロセスを1回行なう。このメインプロセスのメジャーでは、攻撃を行なうか「種別：攻撃」のアーツを使用すること。1シナリオ1回。
30,0,0,0,DE,アタッカー,アタッカー,死を告げる者,魔獣/純血,1,判定直後,自動成功,自身,なし,愛,命中判定直後に使用する。その判定をクリティカルに変更する。1シナリオ1回。
31,0,0,0,DO,アタッカー,アタッカー,怒れる魔獣,なし,1,常時,自動成功,自身,なし,2,BSを受けている間に行なう攻撃ダメージを+[受けているBSの数×3]。
32,0,0,0,DO,アタッカー,アタッカー,オーバーエモーション,魔獣,5,効果参照,自動成功,自身,なし,4,《全力全壊》か《捨て身》と同時に使用し、[Lv×4]点以下の任意の【FP】を失う。その攻撃のダメージに+[失った【FP】]する。1ラウンド1回。
33,0,0,0,DO,アタッカー,アタッカー,確殺の刹那,魔獣,3,効果参照,自動成功,自身,なし,4,命中判定直後に使用可能。そのダイス目を+1。結果クリティカル値以上となればクリティカルが発生する。1シナリオLv回。1回の判定に複数回使用することも可能。
34,0,0,0,DO,アタッカー,アタッカー,餓えし凶獣,魔獣,3,常時,自動成功,自身,なし,0,《魔獣化》中、「種別：攻撃」のアーツによってあなたが与えるダメージ+[Lv+1]D6。あなたの《魔獣化》のコストは+Lvされる。
35,0,0,0,DO,アタッカー,アタッカー,スピードバスター,魔獣,1,効果参照,自動成功,自身,なし,2,《スピードスター》効果中のみ使用可能。《魔獣の殺意》と同時に使用する。そのダメージに+[【行動値】/10]D6。
36,0,0,0,DO,アタッカー,アタッカー,鋭き一撃,魔獣,1,効果参照,自動成功,自身,なし,3,《ビーストブレイク》か《シャープストライク》と同時に使用する。その攻撃の命中判定のクリティカル値を-1。
37,0,0,0,DO,アタッカー,アタッカー,世界の破壊者,なし,10,常時,自動成功,自身,なし,4,Dアーツを持つキャラクターに対して、あなたが攻撃によって与えるダメージを+[Lv×4]する。クライマックスフェイズの間のみ効果がある。
38,0,0,0,DO,アタッカー,アタッカー,得意技法,なし,3,常時,自動成功,自身,なし,1,《得意攻撃》の攻撃であなたが選択した攻撃の、命中判定の達成値に+Lv。
39,0,0,0,DO,アタッカー,アタッカー,得意攻撃,なし,1,常時,自動成功,自身,なし,2,取得時に白兵攻撃、射撃攻撃、特殊攻撃のいずれかを選択する。選択した攻撃のダメージに+1D6する。
40,0,0,0,DO,アタッカー,アタッカー,ビーストアウェイク：A,なし,1,マイナー,自動成功,自身,なし,効果参照,このアーツのコストは[1D6+5]で、使用時に決定する。そのラウンド中、あなたが行なう攻撃ダメージを+[このアーツのコスト]し、あなたは暴走を受ける。
41,0,0,0,DO,アタッカー,アタッカー,始原を砕くもの,20,1,常時,自動成功,自身,なし,3,あなたが《万物の打倒者》を、自身が行なう攻撃に対する防御判定に使用した場合、その攻撃のダメージに+30する。
42,0,0,0,DO,アタッカー,アタッカー,漆黒の殺意,20,3,効果参照,自動成功,自身,なし,効果参照,《魔獣の殺意》と同時に使用する。[Lv×10]点以下の任意の人間性を消費し、そのダメージに+[消費した人間性]する。1シーン1回。
43,0,0,0,DO,アタッカー,アタッカー,制止不能,0,3,効果参照,自動成功,自身,なし,7,ダメージ適用直前に使用可能。その攻撃のダメージはアーツやアイテムの効果で軽減できない。1シナリオLv回。
44,0,0,0,DO,アタッカー,アタッカー,ラストワン,0,1,効果参照,自動成功,自身,なし,愛,いつでも使用可能。取得しているアタッカーのアーツ、または「種別：攻撃」のアーツひとつの使用回数を1回分回復する。1シナリオ1回。
45,0,0,0,DO,アタッカー,アタッカー,真魔撃,純血,1,DR直後,自動成功,自身,なし,罪,DR直後に使用する。そのDRのダイス目が全て6だったものとして扱う。1シナリオ1回。
46,0,0,0,AD,アタッカー,アタッカー,ヴィークルクラッシュ,攻撃,1,メジャー,白兵,単体,至近,4,乗り物を装備中のみ使用可能。その乗り物による白兵攻撃を行なう。その攻撃ダメージに+【行動値】(最大20)。攻撃後、あなたは1D6点の【FP】を失い、その乗り物はシナリオ中失われる。1シナリオ1回。
47,0,0,0,AD,アタッカー,アタッカー,砕魂撃,魔獣/攻撃,1,メジャー,白兵/射撃,単体,武器,愛,対象に白兵か射撃攻撃を行い、その攻撃ダメージに+[あなたの命中判定の達成値-対象ドッジの達成値(最低0)]。対象がガードを行なうなどしてドッジできない場合、対象の達成値は【回避値】に等しいものとする。この攻撃の対象は単体から変更できない。
48,0,0,0,AD,アタッカー,アタッカー,チャージアタック,攻撃,1,メジャー,白兵/射撃,単体,武器,3,対象に白兵か射撃攻撃を行い、その命中判定に-2、ダメージに+[最も高い【基本能力値】]。
49,0,0,0,AD,アタッカー,アタッカー,ファストシフト,なし,1,効果参照,自動成功,自身,なし,1,《魔獣化》または《魔獣の殺意》を使用した直後に使用する。あなたは同じタイミングで使用するアーツまたはアイテム一つを即座に使用できる(セットアッププロセスに《魔獣化》と他の「タイミング：セットアッププロセス」のアーツを連続して使用するなど)。1プロセス1回。
50,0,0,0,AD,アタッカー,アタッカー,覚醒の領域,魔獣/純血,1,常時,自動成功,自身,なし,2,解放状態の間、あなたが行なう命中判定のクリティカル値を-1。
51,0,0,1,基本,ディフェンダー,ディフェンダー,ガーディアンフォーム,自動/魔獣,1,常時,自動成功,自身,なし,0,あなたの【FP】最大値を+30し、《魔獣化》中、あなたのA値を+[最も高い【能力値B】]する。ディフェンダーのアーツの宣言と同時に《魔獣化》を使用できる。
52,0,0,1,基本,ディフェンダー,ディフェンダー,エゴを阻む者,自動,1,効果参照,自動成功,単体,シーン,愛,対象が「タイミング：常時」を覗くドミニオンアーツを宣言した直後に使用する。そのドミニオンアーツの効果を打ち消す(使用自体はなされたとみなす)。1シナリオ1回、災厄級ドミニオンアーツに対しては使用できない。
53,0,0,1,基本,ディフェンダー,ディフェンダー,守護の盾,自動,1,効果参照,自動成功,自身,なし,1,カバーリングと同時に使用する。カバーリングを行っても行動済みにならず、行動済みでもカバーリングを行える。
54,0,0,0,基本,ディフェンダー,ディフェンダー,打ち払い,なし,1,判定直後,自動成功,単体,シーン,2,対象が行なったリアクションの達成値+3。1ラウンド1回。
55,0,0,0,基本,ディフェンダー,ディフェンダー,エースブロッカー,なし,5,効果参照,自動成功,自身,なし,2,あなたが「種別：防御」のアーツを使用する時に使用する。その効果を+[Lv×3]する。
56,0,0,0,基本,ディフェンダー,ディフェンダー,回避専念,なし,1,セットアップ,自動成功,自身,なし,1,そのラウンド中、あなたが行なうドッジの達成値+2、命中判定-2する。
57,0,0,0,基本,ディフェンダー,ディフェンダー,きらめきの壁,なし,3,判定直前,自動成功,範囲,至近,4,あなたを対象に含む「対象：範囲」の攻撃の、命中判定の直前に使用する。その対象をあなた一人に変更する。1シーンにLv回まで使用できる。
58,0,0,0,基本,ディフェンダー,ディフェンダー,攻撃誘導,なし,1,セットアップ,自動成功,単体,シーン,2,対象に[翻弄：あなた]を与える。
59,0,0,0,基本,ディフェンダー,ディフェンダー,突き返し,攻撃,3,リアクション,効果参照,単体,武器,4,使用時に装備中の武器一つを選択し、あなたはドッジを選択した武器の判定値で行なう。対決に勝利した場合、攻撃を回避した上で、攻撃側に選択した武器による攻撃が命中したものとして扱う。ただし、攻撃側は選択した武器の射程内でなければならない。1シーンLv回。
60,0,0,0,基本,ディフェンダー,ディフェンダー,鉄壁の陣,なし,5,効果参照,自動成功,自身,なし,2,あなたがガードを行なう際に使用する。そのガードの間、あなたのG値を+[Lv×3]する。
61,0,0,0,基本,ディフェンダー,ディフェンダー,難攻不落,魔獣,3,常時,自動成功,自身,なし,0,取得時に暴走と翻弄以外のBSからLv個選択する。《魔獣化》の効果中、あなたは選択したBSを受けない。あなたの《魔獣化》のコストは+Lvされる。
62,0,0,0,基本,ディフェンダー,ディフェンダー,不壊の盾,防御,1,DR直後,自動成功,自身,なし,2,取得時に【基本能力値】ひとつを選択する。あなたが受けるダメージを-[選択した【基本能力値】]する。1ラウンド1回。
63,0,0,0,基本,ディフェンダー,ディフェンダー,防御専念,なし,5,セットアップ,自動成功,自身,なし,1,そのラウンド中、あなたのA値を+[Lv×3]し、あなたは「種別：攻撃」のアーツを使用できない
64,0,0,0,基本,ディフェンダー,ディフェンダー,連携攻撃,支援,5,DR直前,自動成功,単体,至近,1,あなた以外の対象が行なうDRに+[Lv×3]する。1ラウンド1回。
65,0,0,0,基本,ディフェンダー,ディフェンダー,レンジドカバー,なし,1,効果参照,自動成功,自身,なし,2,《守護の盾》と同時に使用する。そのカバーリングを「射程：シーン」に変更する。1ラウンド1回。
66,0,0,0,DE,ディフェンダー,ディフェンダー,完全対応,なし,1,判定直前,自動成功,自身,なし,2,特殊攻撃に対するドッジを行なう際に使用する。あなたはその判定を任意の【基本能力値】で行える。
67,0,0,0,DE,ディフェンダー,ディフェンダー,攻防一体,支援,1,DR直前,自動成功,単体,至近,5,あなた以外の対象が行なうDRに+[あなたの最も高いA値]する。1シーン1回。
68,0,0,0,DE,ディフェンダー,ディフェンダー,戦場睥睨,なし,3,効果参照,自動成功,自身,なし,2,あなたが待機を宣言すると同時に使用する。そのラウンド中、あなたが行なうリアクションの達成値を+[Lv+1]。
69,0,0,0,DE,ディフェンダー,ディフェンダー,戦闘即応,なし,1,セットアップ,自動成功,自身,なし,2,あなたは「タイミング：セットアップ」のアーツをふたつ使用できる。ただし、最低1回はディフェンダーのアーツを使用すること。また、アーツを複数回使用できるようなアーツは使用できない。
70,0,0,0,DE,ディフェンダー,ディフェンダー,ゾーンオブコントロール,なし,1,マイナー,自動成功,自身,なし,2,あなたのエンゲージを封鎖する。この効果は、あなたが現在のエンゲージを離れるまで持続する。
71,0,0,0,DE,ディフェンダー,ディフェンダー,立ちはだかる壁,なし,1,判定直後,自動成功,単体,至近,1,対象が行なった判定の達成値を-3する。1ラウンド1回、[翻弄：あなた]を受けている対象には「射程：シーン」として使用できる。
72,0,0,0,DE,ディフェンダー,ディフェンダー,不撓不屈,なし,1,常時,自動成功,自身,なし,2,あなたが解放状態になった時に回復する【FP】を[【肉体】+20]に変更し、罪の効果の「◆復活」によって回復する【FP】を[【加護】+20]に変更する。
73,0,0,0,DE,ディフェンダー,ディフェンダー,ブロッキング,なし,1,効果参照,自動成功,自身,なし,1,特殊攻撃に対するリアクションの直前に使用する。あなたはその特殊攻撃に対してガードを行なうことができる。
74,0,0,0,DE,ディフェンダー,ディフェンダー,ボディガード,なし,1,セットアップ,自動成功,単体,至近,2,あなたは同意した対象と同調状態になる。この同調状態の間、対象が行なうドッジの達成値に+2する。
75,0,0,0,DE,ディフェンダー,ディフェンダー,八重垣,なし,3,リアクション,自動成功,自身,なし,3,あなたはガードを行なう。この時、ガードに使用したアイテムひとつのG値を2倍にして効果を計算する。1ラウンドLv回。
76,0,0,0,DE,ディフェンダー,ディフェンダー,リヴェンジトラップ,なし,1,リアクション,回避,自身,なし,3,あなたは白兵か射撃攻撃に対するドッジを行なう。対決に勝利した場合、攻撃を行なったキャラクターは[あなたのドッジの達成値-命中判定の達成値]点の【FP】を失う。1ラウンド1回。
77,0,0,0,DE,ディフェンダー,ディフェンダー,ルアーリング,なし,1,効果参照,自動成功,単体,至近,3,対象が、あなたを対象に含まない攻撃の対象となった際に使用する。その攻撃の対象をあなたに変更する。1メインプロセス1回。そのメインプロセス中はカバーリングを行えない。
78,0,0,0,DE,ディフェンダー,ディフェンダー,レンジドルアー,なし,1,効果参照,自動成功,自身,なし,2,《ルアーリング》と同時に使用する。その《ルアーリング》を「射程：シーン」に変更する。1ラウンド1回。
79,0,0,0,DE,ディフェンダー,ディフェンダー,エキスパートガーダー,20,1,効果参照,自動成功,自身,なし,愛,いつでも使用できる。あなたが取得している、使用回数に制限があるアーツひとつの使用回数を1回分回復する。ただし「1シナリオn回」の制限があるアーツの使用回数は回復できない。
80,0,0,0,DE,ディフェンダー,ディフェンダー,守護神,純血,1,判定直前,自動成功,単体,シーン,罪,対象が行なった攻撃の命中判定直前に使用する。その対象をあなたひとりに変更する。1シナリオ1回。
81,0,0,0,DO,ディフェンダー,ディフェンダー,機会攻撃,なし,3,効果参照,自動成功,単体,シーン,3,対象があなたと同じエンゲージから離脱移動を行なった直後に使用する。対象は[あなたのもっとも高い【基本能力値】+1D6]点の【FP】を失う。1ラウンドにLV回まで使用できる。
82,0,0,0,DO,ディフェンダー,ディフェンダー,希望の城,なし,1,効果参照,自動成功,シーン,シーン,3,あなたにダメージが適用され、その結果かりそめの死にも真の死にもならなかった直後に使用する。あなた以外の対象がそのシーン中に行なうDRに+1D6.
83,0,0,0,DO,ディフェンダー,ディフェンダー,グレートタフネス,なし,3,常時,自動成功,自身,なし,0,《魔獣化》の効果中、あなたの【FP】とFP最大値を+[Lv×10]する。あなたの《魔獣化》コストは+1される。
84,0,0,0,DO,ディフェンダー,ディフェンダー,血路開拓,なし,3,イニシアチブ,自動成功,単体,シーン,4,同意した対象を、即座にあなたと同じエンゲージまで移動させる。この時、離脱移動を行わせることもできる。1シーンLv回。
85,0,0,0,DO,ディフェンダー,ディフェンダー,盾を剣に,なし,1,DR直前,自動成功,単体,至近,4,あなた以外の対象が行なうDRに+[あなたが装備中の武器一つのG値]する。1ラウンド1回。
86,0,0,0,DO,ディフェンダー,ディフェンダー,頼もしき存在,なし,3,常時,自動成功,自身,なし,2,あなたと同調状態になっている他のキャラクターが行なう命中判定に+Lv、DRに+1D6。
87,0,0,0,DO,ディフェンダー,ディフェンダー,ビーストアウェイク：D,なし,1,マイナー,自動成功,自身,なし,効果参照,このアーツのコストは[1D6+5]となり、使用時に決定される。そのラウンドの間、あなたが受けるダメージを-[このアーツのコスト]し、あなたは束縛を受ける。
88,0,0,0,DO,ディフェンダー,ディフェンダー,ヘヴィアーマー,なし,3,常時,自動成功,自身,なし,1,あなたが装備する防具の行動値修正を+[Lv×2]する。
89,0,0,0,DO,ディフェンダー,ディフェンダー,未到の瞬刻,なし,3,効果参照,自動成功,自身,なし,4,あなたが防御判定を行なった直後に使用する。そのダイス目を+1する。結果、クリティカル値以上となった場合はクリティカルが発生する。1シナリオLv回まで。1回の判定に重複して使用可能。
90,0,0,0,DO,ディフェンダー,ディフェンダー,流血の代償,なし,3,効果参照,自動成功,自身,なし,3,あなたがガードを行なう際に使用する。攻撃側のキャラクターは[ガードに使用した武器一つのG値+1D6]点の【FP】を攻撃後に失う。1ラウンドLv回。
91,0,0,0,DO,ディフェンダー,ディフェンダー,アンブレイカブル,なし,3,効果参照,自動成功,自身,なし,愛,実ダメージ算出の際に使用する。そのDRにおいて、あなたのA値とG値を低下させたり0にしたりする効果が適用された場合でも、あなたは通常通りA値とG値を適用できる。1シナリオLv回。
92,0,0,0,DO,ディフェンダー,ディフェンダー,赤く染まりし盾,なし,3,DR直後,自動成功,単体,シーン,効果参照,[Lv×10]点以下の任意の人間性をコストとして消費し、対象が行なった攻撃のダメージを[消費した人間性]点軽減する。1シーン1回。
93,0,0,0,DO,ディフェンダー,ディフェンダー,アルティメットガーダー,なし,1,効果参照,自動成功,自身,なし,10,《エキスパートガーダー》と同時に使用する。あなたはその効果を「1シナリオn回」という制限のあるアーツにも適用できる。1シナリオ1回。
94,0,0,0,DO,ディフェンダー,ディフェンダー,不滅なるもの,なし,1,効果参照,自動成功,自身,なし,愛,あなたにダメージが適用された直後に使用する。そのダメージを0にする。1シナリオ1回。
95,0,0,0,DO,ディフェンダー,ディフェンダー,阻む者の勇姿,なし,3,効果参照,自動成功,シーン,シーン,8,あなたが《エゴを阻む者》を使用した直後に使用する。対象の【FP】を[あなたの最も高い【基本能力値】×3+(Lv×2)D6]点回復し、BSをすべて解除する。解放状態でも【FP】を回復できる。
96,0,0,0,AD,ディフェンダー,ディフェンダー,絶無の領域,魔獣,1,効果参照,自動成功,自身,なし,2,あなたが解放状態となった直後に使用する。そのシーン中、あなたが行なうリアクションの達成値を+5する。
97,0,0,0,AD,ディフェンダー,ディフェンダー,デコイタクティクス,なし,3,常時,自動成功,自身,なし,2,[翻弄：あなた]または[恐怖：あなた]を受けているキャラクターが、攻撃で受けるダメージを+(Lv)D6する。
98,0,0,0,AD,ディフェンダー,ディフェンダー,身代わりの獣,なし,1,効果参照,自動成功,単体,シーン,愛,対象に実ダメージが適用される際に使用する。その実ダメージは対象の代わりにあなたに適用される。このアーツは対象を単体から変更できず、1ラウンド1回。
99,0,0,0,AD,ディフェンダー,ディフェンダー,誘引戦法,魔獣/攻撃,1,メジャー,白兵/射撃,単体,武器,3,対象に白兵攻撃か射撃攻撃を行なう。この攻撃が命中した場合、対象に[翻弄：あなた]を与え、次に対象があなた以外の行なう攻撃から受けるダメージを+[あなたの最も高い【基本能力値】]する(1回でも効果を発揮するか、シーンが終了すると解除)。
100,0,0,0,AD,ディフェンダー,ディフェンダー,イモータルビースト,純血/魔獣,1,解放状態,自動成功,自身,なし,3,解放状態の間、あなたに適用される実ダメージを最終的に半分(端数切り上げ)として計算する。ただしA値を0として扱うダメージに対しては効果がない。
101,0,0,1,基本,サポーター,サポーター,サポートフォーム,自動/魔獣,1,常時,自動成功,自身,なし,0,《魔獣化》中、あなたが使用する「種別：回復」「種別：支援」のアーツの効果に+[もっとも高い【能力値B】]する。あなたは《魔獣化》を「タイミング：イニシアチブプロセス」に使用できる。
102,0,0,1,基本,サポーター,サポーター,絆の救済者,自動/回復,1,効果参照,自動成功,単体,シーン,愛,対象が真の死となった直後に使用する。対象の真の死を回避し、【FP】を完全に回復する。この効果で解放状態でも【FP】を回復できる。1シナリオ1回。このアーツはいかなる効果でも対象を単体から変更できない。
103,0,0,1,基本,サポーター,サポーター,ワンモアチャンス,自動,1,判定直後,自動成功,単体,シーン,2,対象が行なった判定を振り直させる。1ラウンド1回。
104,0,0,0,基本,サポーター,サポーター,アタックアシスト,支援,1,DR直前,自動成功,単体,シーン,2,取得時に【能力値B】ひとつを選択する。対象が与えるダメージを+[選択した【能力値B】+1D6]する。1ラウンド1回。
105,0,0,0,基本,サポーター,サポーター,ガードブレイク,なし,1,DR直前,自動成功,自身,なし,2,このDRで1点でもダメージを受けたキャラクターはそのシーンの間、A値とG値が-10(最低0)される。
106,0,0,0,基本,サポーター,サポーター,環境構築,なし,3,効果参照,自動成功,自身,なし,2,「種別：支援」のアーツと同時に使用する。その効果に「対象の【FP】を(Lv+1)D6点回復する」を追加する。
107,0,0,0,基本,サポーター,サポーター,状態復元,回復,5,メジャー,自動成功,単体,シーン,2,取得時に【基本能力値】ひとつを選択する。対象の【FP】を[選択した【基本能力値】+(Lv)D6]点回復し、BS一つを回復する。
108,0,0,0,基本,サポーター,サポーター,チャンスメイク,なし,1,メジャー,自動成功,単体,シーン,3,あなた以外の対象を未行動にする。このアーツはいかなる効果でも対象を単体から変更できない。
109,0,0,0,基本,サポーター,サポーター,ディフェンスアシスト,防御,1,DR直後,自動成功,単体,シーン,2,取得時に【能力値B】一つを選択する。対象が受けるダメージを-[選択した【能力値B】+1D6]する。1ラウンド1回。
110,0,0,0,基本,サポーター,サポーター,フォローアシスト,なし,1,判定直前,自動成功,単体,シーン,2,あなた以外の対象が行なう判定の達成値を+3する。1ラウンド1回。
111,0,0,0,基本,サポーター,サポーター,プロテクトプラス,なし,3,効果参照,自動成功,自身,なし,2,「種別：防御」のアーツと同時に使用する。そのアーツを「対象：範囲」に変更する。1ラウンドLv回。
112,0,0,0,基本,サポーター,サポーター,ヒールプラス,なし,3,効果参照,自動成功,自身,なし,2,「種別：回復」のアーツと同時に使用する。そのアーツを「対象：範囲」に変更する。1ラウンドLv回。
113,0,0,0,基本,サポーター,サポーター,妙計奇策,なし,1,マイナー,自動成功,自身,なし,2,取得時に、暴走と翻弄以外のBSひとつを選択する。そのメインプロセスの間、あなたが行なう攻撃で1点でもダメージを与えた場合、さらに選択したBSを与える。《妙計奇策：重圧》のように記述し、BS毎に別のアーツとして取得できる。
114,0,0,0,基本,サポーター,サポーター,ユニゾンアタック,支援,5,DR直前,自動成功,単体,シーン,3,取得時に【基本能力値】ひとつを選択する。あなた以外の対象が行なう攻撃のダメージを+[選択した【基本能力値】+(Lv)D6]する。あなたは未行動でなければ使用できず、使用後は行動済みとなる。
115,0,0,0,基本,サポーター,サポーター,レスキューアシスト,回復,3,イニシアチブ,自動成功,単体,シーン,2,対象の受けているBSを全て回復する。1ラウンドLv回。
116,0,0,0,DE,サポーター,サポーター,一気呵成,なし,1,効果参照,自動成功,単体,シーン,4,同意した対象が攻撃を行なう直前に使用する。その攻撃を「対象：範囲」に変更する。1ラウンド1回。
117,0,0,0,DE,サポーター,サポーター,クイックサポート,なし,1,イニシアチブ,自動成功,自身,なし,5,あなたは即座にメインプロセスを1回行なう。この時、行動済みでもメインプロセスを行え、メインプロセスを行っても行動済みにならない。ただし、このメインプロセスで攻撃を行なうことはできない。1シーンに1回まで使用できる。
118,0,0,0,DE,サポーター,サポーター,軍神,なし,5,メジャー,自動成功,範囲,シーン,3,そのシーンの間、同意した対象が行なう攻撃のダメージを+[Lv×3]する。
119,0,0,0,DE,サポーター,サポーター,救いの御手,魔獣,1,常時,自動成功,自身,なし,2,あなたが罪の効果「◆達成値増大」を、愛を使用して他者に適用した場合、その効果を+3D6から+4D6に変更する。
120,0,0,0,DE,サポーター,サポーター,ダメージコントロール,なし,3,DR直後,自動成功,単体,シーン,2,対象が行なったDRのうち、あなたが選択した最大[Lv×2]個までのダイスを振りなおさせる。1ラウンド1回。
